 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8802 St: 376 W: 848 R: 3520 L: 0 Se: 1 T: 0 sS: 13 sZ: 94 aZ: 69 Modulliste: (TSMLIM-Interface, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8602 St: 376 W: 708 R: 3600 L: 0 Se: 1 T: 0 sS: 9 sZ: 94 aZ: 69 Modulliste: (Energieleitungsummantlung, Energieleitungsummantlung, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8042 St: 401 W: 1258 R: 3560 L: 0 Se: 1 T: 0 sS: 9 sZ: 91 aZ: 66 Modulliste: (Energieleitungsummantlung, Energieleitungsummantlung, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 29 Aw: 0 Sch: 11 P: 8042 St: 401 W: 785 R: 3600 L: 0 Se: 1 T: 0 sS: 5 sZ: 91 aZ: 66 Modulliste: (Energieleitungsummantlung, Energieleitungsummantlung, Stoﬂenergiegenerator, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 115 Sch: 11 P: 8042 St: 401 W: 708 R: 3600 L: 0 Se: 2 T: 0 sS: 9 sZ: 91 aZ: 69 Modulliste: (Energieleitungsummantlung, Energieleitungsummantlung, Cyborg Panther, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8128 St: 387 W: 931 R: 3560 L: 0 Se: 1 T: 0 sS: 9 sZ: 91 aZ: 66 Modulliste: (Energieleitungsummantlung, Energieleitungsummantlung, Sicherheitsschotten, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8028 St: 387 W: 861 R: 3600 L: 0 Se: 1 T: 0 sS: 7 sZ: 91 aZ: 66 Modulliste: (Energieleitungsummantlung, Energieleitungsummantlung, Energieleitungsummantlung, Sicherheitsschotten, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8242 St: 401 W: 848 R: 3637 L: 0 Se: 1 T: 0 sS: 13 sZ: 91 aZ: 66 Modulliste: (Transversal Reaktorwellen Generator, TSMLIM-Interface, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8142 St: 401 W: 778 R: 3677 L: 0 Se: 1 T: 0 sS: 11 sZ: 91 aZ: 66 Modulliste: (Transversal Reaktorwellen Generator, Energieleitungsummantlung, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8042 St: 401 W: 708 R: 3717 L: 0 Se: 1 T: 0 sS: 9 sZ: 91 aZ: 66 Modulliste: (Transversal Reaktorwellen Generator, Energieleitungsummantlung, Energieleitungsummantlung, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8242 St: 401 W: 848 R: 3602 L: 0 Se: 1 T: 0 sS: 10 sZ: 91 aZ: 69 Modulliste: (Hyper Protonen-Stream Triebwerk, TSMLIM-Interface, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8142 St: 401 W: 778 R: 3642 L: 0 Se: 1 T: 0 sS: 8 sZ: 91 aZ: 69 Modulliste: (Hyper Protonen-Stream Triebwerk, Energieleitungsummantlung, TSMLIM-Interface, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 26 Aw: 0 Sch: 11 P: 8042 St: 401 W: 708 R: 3682 L: 0 Se: 1 T: 0 sS: 6 sZ: 91 aZ: 69 Modulliste: (Hyper Protonen-Stream Triebwerk, Energieleitungsummantlung, Energieleitungsummantlung, Stabilit‰tsverdichtungs-Streben, Stabilit‰tsverdichtungs-Streben, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber)
