 Module: 20 TL: 11 KP: 75 Aw: 3743 Sch: 957 P: 2000 St: 505 W: 1887 R: 140 L: 0 Se: 6 T: 0 MinC: 139 MaxC: 145 sS: 15 sZ: 56 aZ: 90 aE: 5 Modulliste: (TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 4188 Sch: 913 P: 2000 St: 505 W: 1695 R: 106 L: 0 Se: 4 T: 0 MinC: 150 MaxC: 152 sS: 15 sZ: 56 aZ: 90 aE: 5 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3657 Sch: 913 P: 2000 St: 530 W: 2245 R: 66 L: 0 Se: 4 T: 0 MinC: 145 MaxC: 145 sS: 15 sZ: 56 aZ: 80 aE: 5 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 4102 Sch: 913 P: 2000 St: 464 W: 1695 R: 106 L: 0 Se: 4 T: 0 MinC: 150 MaxC: 152 sS: 15 sZ: 56 aZ: 80 aE: 5 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3571 Sch: 913 P: 2000 St: 489 W: 2245 R: 66 L: 0 Se: 4 T: 0 MinC: 145 MaxC: 145 sS: 15 sZ: 56 aZ: 70 aE: 5 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 4016 Sch: 913 P: 2000 St: 423 W: 1695 R: 106 L: 0 Se: 4 T: 0 MinC: 150 MaxC: 152 sS: 15 sZ: 56 aZ: 70 aE: 5 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3743 Sch: 957 P: 2088 St: 500 W: 1577 R: 140 L: 0 Se: 6 T: 0 MinC: 139 MaxC: 145 sS: 15 sZ: 56 aZ: 90 aE: 5 Modulliste: (Iridiumkristallskomplex, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3657 Sch: 957 P: 2088 St: 459 W: 1577 R: 140 L: 0 Se: 6 T: 0 MinC: 139 MaxC: 145 sS: 15 sZ: 56 aZ: 80 aE: 5 Modulliste: (Iridiumkristallskomplex, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3571 Sch: 957 P: 2088 St: 418 W: 1577 R: 140 L: 0 Se: 6 T: 0 MinC: 139 MaxC: 145 sS: 15 sZ: 56 aZ: 70 aE: 5 Modulliste: (Iridiumkristallskomplex, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3743 Sch: 935 P: 2088 St: 533 W: 1756 R: 103 L: 0 Se: 5 T: 0 MinC: 142 MaxC: 145 sS: 15 sZ: 56 aZ: 90 aE: 5 Modulliste: (Iridiumkristallskomplex, Materiefaltungsgenerator, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3657 Sch: 935 P: 2088 St: 492 W: 1756 R: 103 L: 0 Se: 5 T: 0 MinC: 142 MaxC: 145 sS: 15 sZ: 56 aZ: 80 aE: 5 Modulliste: (Iridiumkristallskomplex, Materiefaltungsgenerator, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3571 Sch: 935 P: 2088 St: 451 W: 1756 R: 103 L: 0 Se: 5 T: 0 MinC: 142 MaxC: 145 sS: 15 sZ: 56 aZ: 70 aE: 5 Modulliste: (Iridiumkristallskomplex, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3743 Sch: 913 P: 2088 St: 566 W: 1935 R: 66 L: 0 Se: 4 T: 0 MinC: 145 MaxC: 145 sS: 15 sZ: 56 aZ: 90 aE: 5 Modulliste: (Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3657 Sch: 913 P: 2088 St: 525 W: 1935 R: 66 L: 0 Se: 4 T: 0 MinC: 145 MaxC: 145 sS: 15 sZ: 56 aZ: 80 aE: 5 Modulliste: (Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3571 Sch: 913 P: 2088 St: 484 W: 1935 R: 66 L: 0 Se: 4 T: 0 MinC: 145 MaxC: 145 sS: 15 sZ: 56 aZ: 70 aE: 5 Modulliste: (Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3743 Sch: 913 P: 2016 St: 591 W: 1585 R: 66 L: 0 Se: 3 T: 0 MinC: 137 MaxC: 143 sS: 15 sZ: 53 aZ: 87 aE: 5 Modulliste: (Iridiumkristallskomplex, Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3657 Sch: 913 P: 2016 St: 550 W: 1585 R: 66 L: 0 Se: 3 T: 0 MinC: 137 MaxC: 143 sS: 15 sZ: 53 aZ: 77 aE: 5 Modulliste: (Iridiumkristallskomplex, Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3571 Sch: 913 P: 2016 St: 509 W: 1585 R: 66 L: 0 Se: 3 T: 0 MinC: 137 MaxC: 143 sS: 15 sZ: 53 aZ: 67 aE: 5 Modulliste: (Iridiumkristallskomplex, Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3743 Sch: 913 P: 2176 St: 561 W: 1625 R: 66 L: 0 Se: 4 T: 0 MinC: 145 MaxC: 145 sS: 15 sZ: 56 aZ: 90 aE: 5 Modulliste: (Iridiumkristallskomplex, Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3657 Sch: 913 P: 2176 St: 520 W: 1625 R: 66 L: 0 Se: 4 T: 0 MinC: 145 MaxC: 145 sS: 15 sZ: 56 aZ: 80 aE: 5 Modulliste: (Iridiumkristallskomplex, Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3571 Sch: 913 P: 2176 St: 479 W: 1625 R: 66 L: 0 Se: 4 T: 0 MinC: 145 MaxC: 145 sS: 15 sZ: 56 aZ: 70 aE: 5 Modulliste: (Iridiumkristallskomplex, Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3743 Sch: 957 P: 2000 St: 505 W: 1777 R: 180 L: 0 Se: 6 T: 0 MinC: 152 MaxC: 156 sS: 17 sZ: 56 aZ: 90 aE: 5 Modulliste: (Emissionsverwertung, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3657 Sch: 957 P: 2000 St: 464 W: 1777 R: 180 L: 0 Se: 6 T: 0 MinC: 152 MaxC: 156 sS: 17 sZ: 56 aZ: 80 aE: 5 Modulliste: (Emissionsverwertung, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 75 Aw: 3571 Sch: 957 P: 2000 St: 423 W: 1777 R: 180 L: 0 Se: 6 T: 0 MinC: 152 MaxC: 156 sS: 17 sZ: 56 aZ: 70 aE: 5 Modulliste: (Emissionsverwertung, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
