 Module: 20 TL: 11 KP: 77 Aw: 4149 Sch: 911 P: 1352 St: 387 W: 755 R: 211 L: 0 sS: 15 aZ: 14 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 4031 Sch: 933 P: 1440 St: 219 W: 957 R: 191 L: 0 sS: 15 aZ: 14 Modulliste: (Masseanreicherungseinheit, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild)
 Module: 20 TL: 11 KP: 77 Aw: 4031 Sch: 911 P: 1440 St: 252 W: 1136 R: 154 L: 0 sS: 15 aZ: 14 Modulliste: (Masseanreicherungseinheit, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 4149 Sch: 911 P: 1440 St: 223 W: 755 R: 217 L: 0 sS: 15 aZ: 11 Modulliste: (Masseanreicherungseinheit, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 4031 Sch: 911 P: 1368 St: 277 W: 786 R: 154 L: 0 sS: 15 aZ: 11 Modulliste: (Masseanreicherungseinheit, Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 4031 Sch: 911 P: 1528 St: 247 W: 826 R: 154 L: 0 sS: 15 aZ: 14 Modulliste: (Masseanreicherungseinheit, Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 4031 Sch: 955 P: 1056 St: 201 W: 708 R: 188 L: 0 sS: 15 aZ: 11 Modulliste: (Masseanreicherungseinheit, Iridiumkristallskomplex, Iridiumkristallskomplex, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, Positroneninduktionsschild)
 Module: 20 TL: 11 KP: 77 Aw: 4031 Sch: 933 P: 1056 St: 234 W: 887 R: 151 L: 0 sS: 15 aZ: 11 Modulliste: (Masseanreicherungseinheit, Iridiumkristallskomplex, Iridiumkristallskomplex, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild)
 Module: 20 TL: 11 KP: 77 Aw: 4031 Sch: 911 P: 1056 St: 267 W: 1066 R: 114 L: 0 sS: 15 aZ: 11 Modulliste: (Masseanreicherungseinheit, Iridiumkristallskomplex, Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 4149 Sch: 911 P: 1056 St: 238 W: 685 R: 177 L: 0 sS: 15 aZ: 8 Modulliste: (Masseanreicherungseinheit, Iridiumkristallskomplex, Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Antimateriemarschflugkörper, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 4031 Sch: 911 P: 1144 St: 262 W: 756 R: 114 L: 0 sS: 15 aZ: 11 Modulliste: (Masseanreicherungseinheit, Iridiumkristallskomplex, Iridiumkristallskomplex, Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, photonischer Absorber, photonischer Absorber)
 Module: 20 TL: 11 KP: 77 Aw: 4117 Sch: 911 P: 1056 St: 220 W: 826 R: 166 L: 0 sS: 15 aZ: 15 Modulliste: (Masseanreicherungseinheit, Masseanreicherungseinheit, Masseanreicherungseinheit, Iridiumkristallskomplex, Materiefaltungsgenerator, Materiefaltungsgenerator, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, Neutronengranate, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss)

 Module: 20 TL: 11 KP: 77 Aw: 5336 Sch: 955 P: 2088 St: 199 W: 778 R: 222 L: 0 sS: 15 sZ: 56 aZ: 120 Modulliste: (TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 80 Aw: 5176 Sch: 955 P: 2088 St: 224 W: 778 R: 242 L: 0 sS: 15 sZ: 57 aZ: 115 Modulliste: (leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 83 Aw: 5016 Sch: 955 P: 2088 St: 249 W: 778 R: 262 L: 0 sS: 15 sZ: 58 aZ: 110 Modulliste: (leichter Gammalaser, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 77 Aw: 5336 Sch: 933 P: 2088 St: 232 W: 957 R: 185 L: 0 sS: 15 sZ: 56 aZ: 120 Modulliste: (Materiefaltungsgenerator, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 80 Aw: 5176 Sch: 933 P: 2088 St: 257 W: 957 R: 205 L: 0 sS: 15 sZ: 57 aZ: 115 Modulliste: (Materiefaltungsgenerator, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 83 Aw: 5016 Sch: 933 P: 2088 St: 282 W: 957 R: 225 L: 0 sS: 15 sZ: 58 aZ: 110 Modulliste: (Materiefaltungsgenerator, leichter Gammalaser, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, Positroneninduktionsschild, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 77 Aw: 5336 Sch: 911 P: 2088 St: 265 W: 1136 R: 148 L: 0 sS: 15 sZ: 56 aZ: 120 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 80 Aw: 5176 Sch: 911 P: 2088 St: 290 W: 1136 R: 168 L: 0 sS: 15 sZ: 57 aZ: 115 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 83 Aw: 5016 Sch: 911 P: 2088 St: 315 W: 1136 R: 188 L: 0 sS: 15 sZ: 58 aZ: 110 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 89 Aw: 5227 Sch: 911 P: 2176 St: 105 W: 1136 R: 228 L: 0 sS: 15 sZ: 60 aZ: 110 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 92 Aw: 5067 Sch: 911 P: 2176 St: 130 W: 1136 R: 248 L: 0 sS: 15 sZ: 61 aZ: 105 Modulliste: (Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 77 Aw: 5336 Sch: 911 P: 2016 St: 290 W: 786 R: 148 L: 0 sS: 15 sZ: 53 aZ: 117 Modulliste: (Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 80 Aw: 5176 Sch: 911 P: 2016 St: 315 W: 786 R: 168 L: 0 sS: 15 sZ: 54 aZ: 112 Modulliste: (Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 83 Aw: 5016 Sch: 911 P: 2016 St: 340 W: 786 R: 188 L: 0 sS: 15 sZ: 55 aZ: 107 Modulliste: (Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 83 Aw: 5016 Sch: 911 P: 2104 St: 105 W: 1336 R: 148 L: 0 sS: 15 sZ: 55 aZ: 107 Modulliste: (Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 86 Aw: 5387 Sch: 911 P: 2104 St: 105 W: 786 R: 208 L: 0 sS: 15 sZ: 56 aZ: 112 Modulliste: (Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 89 Aw: 5227 Sch: 911 P: 2104 St: 130 W: 786 R: 228 L: 0 sS: 15 sZ: 57 aZ: 107 Modulliste: (Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 92 Aw: 5067 Sch: 911 P: 2104 St: 155 W: 786 R: 248 L: 0 sS: 15 sZ: 58 aZ: 102 Modulliste: (Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
 Module: 20 TL: 11 KP: 80 Aw: 5176 Sch: 911 P: 2032 St: 105 W: 986 R: 128 L: 0 sS: 15 sZ: 51 aZ: 109 Modulliste: (Energiepanzer, Energiepanzer, Materiefaltungsgenerator, Materiefaltungsgenerator, leichter Gammalaser, TSMLIM-Interface, TSMLIM-Interface, TSMLIM-Interface, Ripax-Hülle, photonischer Absorber, photonischer Absorber, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss, panzerbrechendes Antimateriekerngeschoss)
